URLS,Label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,1
www.youtube.com,0
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,1
web.unizik.edu.ng,0
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,1
mail.printakid.com/www.online.americanexpress.com/index.html,1
www.google.com.ng,0
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,1
smilesvoegol.servebbs.org/voegol.php,1
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,1
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,1
www.vanguardngr.com,0
super1000.info/docs,1
horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,1
www.rsu.edu.ng,0
www.facebook.com,0
www.cdhnow.com/mw.asp,0
www.polyhedric.com/software/,0
www.matthewssoftware.com/MIDIFixer,0
